dataset,fold,model,seed,accuracy,precision,recall,f1,threshold,threshold_percentile,training_time_sec,inference_time_sec,epochs_ran,final_train_loss,final_val_loss
skab,1,lstm,42,0.5125170687300865,0.1563517915309446,0.024857586742620404,0.04289544235924933,0.0023195843677967787,95.0,118.72876345999975,3.8641410960008216,8,0.0018733368666177662,0.0016080056582812696
skab,2,lstm,42,0.5060323241520601,0.0,0.0,0.0,0.013653340749442577,95.0,86.43651531399883,3.853486027999679,6,0.0017272287467017344,0.000750922943178209
skab,3,lstm,42,0.6352099676972773,0.736,0.28527131782945736,0.4111731843575419,0.002156053902581334,95.0,154.93245118399864,3.9921760109973548,10,0.001573412295518758,0.0005256069815882822
skab,4,lstm,42,0.5191269126912691,0.0,0.0,0.0,0.0017380517674610019,95.0,132.70773206000013,4.387995143999433,8,0.0070606137874977,0.0015194927589028031
skab,0,lstm,123,0.43721668177697187,0.2460243217960711,0.13556701030927834,0.17480890661349285,0.002241880400106311,95.0,145.14003325000158,3.7040820100010023,10,0.0020274535505806434,0.001302311579624944
skab,1,lstm,123,0.5136549840691853,0.18597560975609756,0.03158984981874676,0.054006197432492256,0.0023283918853849173,95.0,125.56281226699866,3.8488924560006126,9,0.0018500258549929644,0.00036472255873851135
skab,2,lstm,123,0.48304120191213296,0.0,0.0,0.0,0.002327238442376256,95.0,140.76283202299965,3.81228031199862,10,0.0016276928108264978,0.00049971774257728
skab,3,lstm,123,0.6354407014305491,0.7363515312916112,0.28578811369509044,0.4117647058823529,0.002098418539389968,95.0,143.04015253500256,3.7205268180005078,10,0.0016425580483288805,0.0005438203550747686
skab,4,lstm,123,0.5216021602160216,0.0,0.0,0.0,0.0017791370628401637,95.0,137.60616760000266,5.3797110990017245,9,0.001726110501937479,0.00039259632715464446
skab,0,lstm,999,0.4866273798730734,0.3892297205180641,0.2943298969072165,0.33519225124743174,0.0027650599367916584,95.0,198.60988216999976,5.4858883030028665,10,0.0020535358112999677,0.0009927392915633588
skab,1,lstm,999,0.5229858898497952,0.21052631578947367,0.031071983428275506,0.05415162454873646,0.001858621253632009,95.0,157.69143826599975,5.850540586001443,8,0.0020575632402939767,0.0010964482044333614
skab,2,lstm,999,0.48372410653312087,0.0,0.0,0.0,0.0018838506657630205,95.0,194.77825424000184,5.59299302799991,10,0.0019572421564523945,0.0012256591730348647
skab,3,lstm,999,0.6382095062298108,0.7404980340760158,0.29198966408268734,0.41882876204596,0.0018372267950326204,95.0,207.55436990599992,4.491533616997913,10,0.001715776953673185,0.0005248047908942876
skab,4,lstm,999,0.5272277227722773,0.0,0.0,0.0,0.0032321882899850607,95.0,208.3042207719991,6.02450035199945,10,0.0018603849654774147,0.0008465149402180988
skab,0,lstm,2026,0.4508159564823209,0.2872246696035242,0.16804123711340208,0.21203252032520326,0.0021003265865147114,95.0,198.91098831099953,12.807334945999173,10,0.002047741666413534,0.0005399242147410948
skab,1,lstm,2026,0.5213928083750569,0.2013888888888889,0.03003625064733299,0.05227579990986931,0.001778104924596846,95.0,223.14146520600116,5.366561216000264,10,0.0019452767776911614,0.00041515083005255163
skab,2,lstm,2026,0.4793990439335306,0.0,0.0,0.0,0.002054919023066759,95.0,208.00203527099802,5.985771174000547,10,0.0017043076133938435,0.0005270875495988021
skab,3,lstm,2026,0.6372865712967236,0.7391304347826086,0.289922480620155,0.41648106904231624,0.001926748431287706,95.0,200.89933471300174,5.4869898130018555,10,0.001512994030418208,0.0008707656703930736
skab,4,lstm,2026,0.5301530153015301,0.0,0.0,0.0,0.008532349020242691,95.0,211.03807360800056,6.13791428499826,10,0.001604236125943078,0.00048111662490215245
